Método;Entrada;Tempo;Execução;TipoOrdenacao;N
QUICKSORT;o500000;0.0103491;4;Ordenado;500000
HEAPSORT;o500000;0.0897566;4;Ordenado;500000
MERGESORT;o7500;0.000387968;4;Ordenado;7500
QUICKSORT;o7500;0.000153872;4;Ordenado;7500
HEAPSORT;o7500;0.00117862;4;Ordenado;7500
MERGESORT;o75000;0.00444827;4;Ordenado;75000
QUICKSORT;o75000;0.00155981;4;Ordenado;75000
HEAPSORT;o75000;0.0131226;4;Ordenado;75000
MERGESORT;o750000;0.0497533;4;Ordenado;750000
QUICKSORT;o750000;0.0147818;4;Ordenado;750000
HEAPSORT;o750000;0.135183;4;Ordenado;750000
MERGESORT;o100;5.681e-06;5;Ordenado;100
QUICKSORT;o100;2.136e-06;5;Ordenado;100
HEAPSORT;o100;8.2e-06;5;Ordenado;100
MERGESORT;o1000;4.6699e-05;5;Ordenado;1000
QUICKSORT;o1000;1.6967e-05;5;Ordenado;1000
HEAPSORT;o1000;0.000113484;5;Ordenado;1000
MERGESORT;o10000;0.000558938;5;Ordenado;10000
QUICKSORT;o10000;0.00024074;5;Ordenado;10000
HEAPSORT;o10000;0.0015649;5;Ordenado;10000
MERGESORT;o100000;0.0062263;5;Ordenado;100000
QUICKSORT;o100000;0.00213461;5;Ordenado;100000
HEAPSORT;o100000;0.0177561;5;Ordenado;100000
MERGESORT;o1000000;0.0673275;5;Ordenado;1000000
QUICKSORT;o1000000;0.018743;5;Ordenado;1000000
HEAPSORT;o1000000;0.190708;5;Ordenado;1000000
MERGESORT;o1250000;0.0861695;5;Ordenado;1250000
QUICKSORT;o1250000;0.0241276;5;Ordenado;1250000
HEAPSORT;o1250000;0.236617;5;Ordenado;1250000
MERGESORT;o15000;0.000875668;5;Ordenado;15000
QUICKSORT;o15000;0.000373201;5;Ordenado;15000
HEAPSORT;o15000;0.00231694;5;Ordenado;15000
MERGESORT;o1500000;0.104058;5;Ordenado;1500000
QUICKSORT;o1500000;0.0293274;5;Ordenado;1500000
HEAPSORT;o1500000;0.282509;5;Ordenado;1500000
MERGESORT;o200;9.998e-06;5;Ordenado;200
QUICKSORT;o200;3.017e-06;5;Ordenado;200
HEAPSORT;o200;1.7406e-05;5;Ordenado;200
MERGESORT;o2000;9.5907e-05;5;Ordenado;2000
QUICKSORT;o2000;3.5533e-05;5;Ordenado;2000
HEAPSORT;o2000;0.000253738;5;Ordenado;2000
MERGESORT;o200000;0.0128446;5;Ordenado;200000
QUICKSORT;o200000;0.00385704;5;Ordenado;200000
HEAPSORT;o200000;0.0356315;5;Ordenado;200000
MERGESORT;o2000000;0.139255;5;Ordenado;2000000
QUICKSORT;o2000000;0.0371387;5;Ordenado;2000000
HEAPSORT;o2000000;0.380687;5;Ordenado;2000000
MERGESORT;o30000;0.00163892;5;Ordenado;30000
QUICKSORT;o30000;0.000712799;5;Ordenado;30000
HEAPSORT;o30000;0.00481129;5;Ordenado;30000
MERGESORT;o500;2.407e-05;5;Ordenado;500
QUICKSORT;o500;8.324e-06;5;Ordenado;500
HEAPSORT;o500;5.1946e-05;5;Ordenado;500
MERGESORT;o5000;0.000273794;5;Ordenado;5000
QUICKSORT;o5000;0.000112205;5;Ordenado;5000
HEAPSORT;o5000;0.000698786;5;Ordenado;5000
MERGESORT;o50000;0.00288096;5;Ordenado;50000
QUICKSORT;o50000;0.0011159;5;Ordenado;50000
HEAPSORT;o50000;0.00866246;5;Ordenado;50000
MERGESORT;o500000;0.0329296;5;Ordenado;500000
QUICKSORT;o500000;0.0097779;5;Ordenado;500000
HEAPSORT;o500000;0.0884535;5;Ordenado;500000
MERGESORT;o7500;0.000396669;5;Ordenado;7500
QUICKSORT;o7500;0.000176718;5;Ordenado;7500
HEAPSORT;o7500;0.00111791;5;Ordenado;7500
MERGESORT;o75000;0.00479176;5;Ordenado;75000
QUICKSORT;o75000;0.00167641;5;Ordenado;75000
HEAPSORT;o75000;0.0135371;5;Ordenado;75000
MERGESORT;o750000;0.0503762;5;Ordenado;750000
QUICKSORT;o750000;0.0144893;5;Ordenado;750000
HEAPSORT;o750000;0.138344;5;Ordenado;750000
MERGESORT;o100;5.9e-06;6;Ordenado;100
QUICKSORT;o100;1.885e-06;6;Ordenado;100
HEAPSORT;o100;9.207e-06;6;Ordenado;100
MERGESORT;o1000;4.9917e-05;6;Ordenado;1000
QUICKSORT;o1000;8.5196e-05;6;Ordenado;1000
HEAPSORT;o1000;0.000115623;6;Ordenado;1000
MERGESORT;o10000;0.00052602;6;Ordenado;10000
QUICKSORT;o10000;0.000245837;6;Ordenado;10000
HEAPSORT;o10000;0.00149218;6;Ordenado;10000
MERGESORT;o100000;0.00596044;6;Ordenado;100000
QUICKSORT;o100000;0.00206994;6;Ordenado;100000
HEAPSORT;o100000;0.0177642;6;Ordenado;100000
MERGESORT;o1000000;0.0667967;6;Ordenado;1000000
QUICKSORT;o1000000;0.0191108;6;Ordenado;1000000
HEAPSORT;o1000000;0.184277;6;Ordenado;1000000
MERGESORT;o1250000;0.085678;6;Ordenado;1250000
QUICKSORT;o1250000;0.0252929;6;Ordenado;1250000
HEAPSORT;o1250000;0.233053;6;Ordenado;1250000
MERGESORT;o15000;0.000763139;6;Ordenado;15000
QUICKSORT;o15000;0.000387082;6;Ordenado;15000
HEAPSORT;o15000;0.00238567;6;Ordenado;15000
MERGESORT;o1500000;0.10525;6;Ordenado;1500000
QUICKSORT;o1500000;0.0299257;6;Ordenado;1500000
HEAPSORT;o1500000;0.280385;6;Ordenado;1500000
MERGESORT;o200;1.4738e-05;6;Ordenado;200
QUICKSORT;o200;3.211e-06;6;Ordenado;200
HEAPSORT;o200;1.7845e-05;6;Ordenado;200
MERGESORT;o2000;9.589e-05;6;Ordenado;2000
QUICKSORT;o2000;3.9574e-05;6;Ordenado;2000
HEAPSORT;o2000;0.000261023;6;Ordenado;2000
MERGESORT;o200000;0.0132925;6;Ordenado;200000
QUICKSORT;o200000;0.00392093;6;Ordenado;200000
HEAPSORT;o200000;0.0350945;6;Ordenado;200000
MERGESORT;o2000000;0.137555;6;Ordenado;2000000
QUICKSORT;o2000000;0.038221;6;Ordenado;2000000
HEAPSORT;o2000000;0.379014;6;Ordenado;2000000
MERGESORT;o30000;0.00161487;6;Ordenado;30000
QUICKSORT;o30000;0.000721365;6;Ordenado;30000
HEAPSORT;o30000;0.00503432;6;Ordenado;30000
MERGESORT;o500;2.3556e-05;6;Ordenado;500
QUICKSORT;o500;8.145e-06;6;Ordenado;500
HEAPSORT;o500;5.4559e-05;6;Ordenado;500
MERGESORT;o5000;0.000253264;6;Ordenado;5000
QUICKSORT;o5000;0.000115194;6;Ordenado;5000
HEAPSORT;o5000;0.000722517;6;Ordenado;5000
MERGESORT;o50000;0.00284763;6;Ordenado;50000
QUICKSORT;o50000;0.00105909;6;Ordenado;50000
HEAPSORT;o50000;0.00856954;6;Ordenado;50000
MERGESORT;o500000;0.0332869;6;Ordenado;500000
QUICKSORT;o500000;0.00940494;6;Ordenado;500000
HEAPSORT;o500000;0.0903546;6;Ordenado;500000
MERGESORT;o7500;0.000419591;6;Ordenado;7500
QUICKSORT;o7500;0.000169815;6;Ordenado;7500
HEAPSORT;o7500;0.00110521;6;Ordenado;7500
MERGESORT;o75000;0.0046365;6;Ordenado;75000
QUICKSORT;o75000;0.00186097;6;Ordenado;75000
HEAPSORT;o75000;0.0127155;6;Ordenado;75000
MERGESORT;o750000;0.0531623;6;Ordenado;750000
QUICKSORT;o750000;0.0147925;6;Ordenado;750000
HEAPSORT;o750000;0.136209;6;Ordenado;750000
