Método;Entrada;Tempo;Execução;TipoOrdenacao;N
QUICKSORT;o1000000;0.0178066;2;Ordenado;1000000
HEAPSORT;o1000000;0.183897;2;Ordenado;1000000
MERGESORT;o1250000;0.0886347;2;Ordenado;1250000
QUICKSORT;o1250000;0.0225793;2;Ordenado;1250000
HEAPSORT;o1250000;0.236245;2;Ordenado;1250000
MERGESORT;o15000;0.000809373;2;Ordenado;15000
QUICKSORT;o15000;0.000373992;2;Ordenado;15000
HEAPSORT;o15000;0.00230416;2;Ordenado;15000
MERGESORT;o1500000;0.101373;2;Ordenado;1500000
QUICKSORT;o1500000;0.0287529;2;Ordenado;1500000
HEAPSORT;o1500000;0.281163;2;Ordenado;1500000
MERGESORT;o200;1.0069e-05;2;Ordenado;200
QUICKSORT;o200;3.392e-06;2;Ordenado;200
HEAPSORT;o200;1.5222e-05;2;Ordenado;200
MERGESORT;o2000;9.3927e-05;2;Ordenado;2000
QUICKSORT;o2000;3.4441e-05;2;Ordenado;2000
HEAPSORT;o2000;0.000247702;2;Ordenado;2000
MERGESORT;o200000;0.0129226;2;Ordenado;200000
QUICKSORT;o200000;0.00347332;2;Ordenado;200000
HEAPSORT;o200000;0.0346489;2;Ordenado;200000
MERGESORT;o2000000;0.139111;2;Ordenado;2000000
QUICKSORT;o2000000;0.0386628;2;Ordenado;2000000
HEAPSORT;o2000000;0.380657;2;Ordenado;2000000
MERGESORT;o30000;0.00162433;2;Ordenado;30000
QUICKSORT;o30000;0.000721977;2;Ordenado;30000
HEAPSORT;o30000;0.00512975;2;Ordenado;30000
MERGESORT;o500;2.4765e-05;2;Ordenado;500
QUICKSORT;o500;7.215e-06;2;Ordenado;500
HEAPSORT;o500;5.2222e-05;2;Ordenado;500
MERGESORT;o5000;0.000255193;2;Ordenado;5000
QUICKSORT;o5000;0.000106871;2;Ordenado;5000
HEAPSORT;o5000;0.00071639;2;Ordenado;5000
MERGESORT;o50000;0.00294653;2;Ordenado;50000
QUICKSORT;o50000;0.00110948;2;Ordenado;50000
HEAPSORT;o50000;0.00894296;2;Ordenado;50000
MERGESORT;o500000;0.0325934;2;Ordenado;500000
QUICKSORT;o500000;0.00967876;2;Ordenado;500000
HEAPSORT;o500000;0.0900726;2;Ordenado;500000
MERGESORT;o7500;0.00037817;2;Ordenado;7500
QUICKSORT;o7500;0.000177686;2;Ordenado;7500
HEAPSORT;o7500;0.00109774;2;Ordenado;7500
