Método;Entrada;Tempo;Execução
QUICKSORT;o1500000;0.0287529;2
HEAPSORT;o1500000;0.281163;2
MERGESORT;o200;1.0069e-05;2
QUICKSORT;o200;3.392e-06;2
HEAPSORT;o200;1.5222e-05;2
MERGESORT;o2000;9.3927e-05;2
QUICKSORT;o2000;3.4441e-05;2
HEAPSORT;o2000;0.000247702;2
MERGESORT;o200000;0.0129226;2
QUICKSORT;o200000;0.00347332;2
HEAPSORT;o200000;0.0346489;2
MERGESORT;o2000000;0.139111;2
QUICKSORT;o2000000;0.0386628;2
HEAPSORT;o2000000;0.380657;2
MERGESORT;o30000;0.00162433;2
QUICKSORT;o30000;0.000721977;2
HEAPSORT;o30000;0.00512975;2
MERGESORT;o500;2.4765e-05;2
QUICKSORT;o500;7.215e-06;2
HEAPSORT;o500;5.2222e-05;2
MERGESORT;o5000;0.000255193;2
QUICKSORT;o5000;0.000106871;2
HEAPSORT;o5000;0.00071639;2
MERGESORT;o50000;0.00294653;2
QUICKSORT;o50000;0.00110948;2
HEAPSORT;o50000;0.00894296;2
MERGESORT;o500000;0.0325934;2
QUICKSORT;o500000;0.00967876;2
HEAPSORT;o500000;0.0900726;2
MERGESORT;o7500;0.00037817;2
QUICKSORT;o7500;0.000177686;2
HEAPSORT;o7500;0.00109774;2
MERGESORT;o75000;0.00450076;2
QUICKSORT;o75000;0.00164973;2
HEAPSORT;o75000;0.0131452;2
MERGESORT;o750000;0.0477167;2
QUICKSORT;o750000;0.0140642;2
HEAPSORT;o750000;0.137402;2
MERGESORT;po100;8.01e-06;2
QUICKSORT;po100;3.7e-06;2
HEAPSORT;po100;8.033e-06;2
MERGESORT;po1000;5.504e-05;2
QUICKSORT;po1000;2.4415e-05;2
HEAPSORT;po1000;0.000115577;2
MERGESORT;po10000;0.000529294;2
QUICKSORT;po10000;0.000251554;2
HEAPSORT;po10000;0.00167216;2
MERGESORT;po100000;0.00596088;2
QUICKSORT;po100000;0.00202102;2
HEAPSORT;po100000;0.0173895;2
MERGESORT;po1000000;0.0674892;2
QUICKSORT;po1000000;0.0199734;2
HEAPSORT;po1000000;0.185549;2
MERGESORT;po1250000;0.086127;2
QUICKSORT;po1250000;0.0243798;2
HEAPSORT;po1250000;0.235108;2
MERGESORT;po15000;0.000804919;2
QUICKSORT;po15000;0.000389236;2
HEAPSORT;po15000;0.00232849;2
MERGESORT;po1500000;0.102953;2
QUICKSORT;po1500000;0.0290518;2
HEAPSORT;po1500000;0.280435;2
MERGESORT;po200;1.4068e-05;2
QUICKSORT;po200;5.827e-06;2
HEAPSORT;po200;1.7928e-05;2
MERGESORT;po2000;0.00010258;2
QUICKSORT;po2000;4.2943e-05;2
HEAPSORT;po2000;0.000255474;2
MERGESORT;po200000;0.0126546;2
QUICKSORT;po200000;0.00411385;2
HEAPSORT;po200000;0.0349904;2
MERGESORT;po2000000;0.140173;2
QUICKSORT;po2000000;0.0382746;2
HEAPSORT;po2000000;0.380869;2
MERGESORT;po30000;0.00162701;2
QUICKSORT;po30000;0.000750217;2
HEAPSORT;po30000;0.00533435;2
MERGESORT;po500;2.8684e-05;2
QUICKSORT;po500;1.2654e-05;2
HEAPSORT;po500;5.3018e-05;2
MERGESORT;po5000;0.000257949;2
QUICKSORT;po5000;0.000116457;2
HEAPSORT;po5000;0.000718635;2
MERGESORT;po50000;0.00333973;2
QUICKSORT;po50000;0.00113184;2
HEAPSORT;po50000;0.00862775;2
MERGESORT;po500000;0.0389095;2
QUICKSORT;po500000;0.00898794;2
HEAPSORT;po500000;0.088954;2
MERGESORT;po7500;0.000485856;2
QUICKSORT;po7500;0.00018679;2
HEAPSORT;po7500;0.00108979;2
MERGESORT;po75000;0.00443821;2
QUICKSORT;po75000;0.00185015;2
HEAPSORT;po75000;0.0138403;2
MERGESORT;po750000;0.0511703;2
QUICKSORT;po750000;0.0161399;2
HEAPSORT;po750000;0.138306;2
MERGESORT;a100;8.738e-06;3
QUICKSORT;a100;5.155e-06;3
HEAPSORT;a100;7.683e-06;3
MERGESORT;a1000;9.3458e-05;3
QUICKSORT;a1000;6.8252e-05;3
HEAPSORT;a1000;0.000129002;3
MERGESORT;a10000;0.00109761;3
QUICKSORT;a10000;0.000781051;3
HEAPSORT;a10000;0.00177636;3
MERGESORT;a100000;0.0120437;3
QUICKSORT;a100000;0.00742103;3
HEAPSORT;a100000;0.0225302;3
MERGESORT;a1000000;0.129199;3
QUICKSORT;a1000000;0.0696318;3
HEAPSORT;a1000000;0.261683;3
MERGESORT;a1250000;0.165866;3
QUICKSORT;a1250000;0.0883119;3
HEAPSORT;a1250000;0.337719;3
MERGESORT;a15000;0.00170015;3
QUICKSORT;a15000;0.0011682;3
HEAPSORT;a15000;0.00287305;3
MERGESORT;a1500000;0.198161;3
QUICKSORT;a1500000;0.103379;3
HEAPSORT;a1500000;0.408649;3
MERGESORT;a200;1.6729e-05;3
QUICKSORT;a200;1.1783e-05;3
HEAPSORT;a200;1.7339e-05;3
MERGESORT;a2000;0.000190698;3
QUICKSORT;a2000;0.00014187;3
HEAPSORT;a2000;0.000291697;3
MERGESORT;a200000;0.0250888;3
QUICKSORT;a200000;0.013143;3
HEAPSORT;a200000;0.0470325;3
MERGESORT;a2000000;0.263606;3
QUICKSORT;a2000000;0.141468;3
HEAPSORT;a2000000;0.554503;3
MERGESORT;a30000;0.003379;3
QUICKSORT;a30000;0.0018389;3
HEAPSORT;a30000;0.00602442;3
MERGESORT;a500;4.4674e-05;3
QUICKSORT;a500;3.0365e-05;3
HEAPSORT;a500;5.5606e-05;3
MERGESORT;a5000;0.000500868;3
QUICKSORT;a5000;0.000360074;3
HEAPSORT;a5000;0.000826723;3
MERGESORT;a50000;0.00584091;3
QUICKSORT;a50000;0.0032609;3
HEAPSORT;a50000;0.0101388;3
MERGESORT;a500000;0.0632709;3
QUICKSORT;a500000;0.0351776;3
HEAPSORT;a500000;0.127937;3
MERGESORT;a7500;0.000769252;3
QUICKSORT;a7500;0.000550167;3
HEAPSORT;a7500;0.00125325;3
MERGESORT;a75000;0.00909702;3
QUICKSORT;a75000;0.0058796;3
HEAPSORT;a75000;0.0160918;3
MERGESORT;a750000;0.095805;3
QUICKSORT;a750000;0.0515222;3
HEAPSORT;a750000;0.193865;3
MERGESORT;d100;6.433e-06;3
QUICKSORT;d100;2.186e-06;3
HEAPSORT;d100;6.33e-06;3
MERGESORT;d1000;5.0398e-05;3
